"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","SOURCE","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","MA1","TMP","WND"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-06T09:00:00","4","FM-12","99999","V020","99999,9,10069,1","+0366,1","320,1,N,0021,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-07T03:00:00","4","FM-12","99999","V020","99999,9,10098,1","+0300,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-07T06:00:00","4","FM-12","99999","V020","99999,9,10098,1","+0358,1","320,1,N,0010,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-07T09:00:00","4","FM-12","99999","V020","99999,9,10071,1","+0366,1","320,1,N,0021,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-07T12:00:00","4","FM-12","99999","V020","99999,9,10065,1","+0336,1","320,1,N,0026,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-08T03:00:00","4","FM-12","99999","V020","99999,9,10100,1","+0296,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-08T06:00:00","4","FM-12","99999","V020","99999,9,10091,1","+0358,1","320,1,N,0010,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-08T12:00:00","4","FM-12","99999","V020","99999,9,10059,1","+0348,1","320,1,N,0021,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-09T03:00:00","4","FM-12","99999","V020","99999,9,10087,1","+0294,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-09T06:00:00","4","FM-12","99999","V020","99999,9,10081,1","+0356,1","320,1,N,0015,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-09T09:00:00","4","FM-12","99999","V020","99999,9,10057,1","+0370,1","320,1,N,0021,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-09T12:00:00","4","FM-12","99999","V020","99999,9,10053,1","+0338,1","320,1,N,0015,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-10T03:00:00","4","FM-12","99999","V020","99999,9,10101,1","+0290,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-10T06:00:00","4","FM-12","99999","V020","99999,9,10097,1","+0352,1","290,1,N,0010,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-10T09:00:00","4","FM-12","99999","V020","99999,9,10074,1","+0366,1","320,1,N,0015,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-11T03:00:00","4","FM-12","99999","V020","99999,9,10095,1","+0298,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-11T06:00:00","4","FM-12","99999","V020","99999,9,10095,1","+0342,1","320,1,N,0010,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-11T09:00:00","4","FM-12","99999","V020","99999,9,10077,1","+0362,1","320,1,N,0015,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-11T12:00:00","4","FM-12","99999","V020","99999,9,10069,1","+0334,1","320,1,N,0026,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-12T03:00:00","4","FM-12","99999","V020","99999,9,10102,1","+0298,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-12T09:00:00","4","FM-12","99999","V020","99999,9,10071,1","+0364,1","320,1,N,0021,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-12T12:00:00","4","FM-12","99999","V020","99999,9,10057,1","+0344,1","320,1,N,0015,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-05-13T03:00:00","4","FM-12","99999","V020","99999,9,10100,1","+0300,1","999,9,C,0000,1"
